,24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Annual Member Sign-Ups (midnight to 11:59 pm),Cumulative trips (since launch):,Date,Miles traveled to date:,Miles traveled today (midnight to 11:59 pm),Total Annual Members,Total Annual Members (All Time),Total Annual Memberships Sold,Trips over the past 24-hours (midnight to 11:59pm)
0,0.0,,0.0,2043,9767,5/27/2013,"21,533",21.533,,,17216.0,9767
1,0.0,,0.0,2598,14982,5/28/2013,"30,313",8.78,,,19816.0,5215
2,0.0,,0.0,2167,25963,5/29/2013,"52,211",21.898000000000003,,,21986.0,10981
3,0.0,,0.0,1998,35813,5/30/2013,"72,532",20.320999999999998,,,23985.0,9850
4,0.0,,0.0,1630,45066,5/31/2013,"92,775",20.243,,,25615.0,9253
5,0.0,,0.0,1141,54918,6/1/2013,"119,122",26.346999999999998,,,26756.0,9852
6,4723.0,,289.0,1496,72508,6/2/2013,"171,266",52.143,,,28253.0,17590
7,1160.0,,221.0,1363,81107,6/3/2013,"190,173",18.907,,,29616.0,8599
8,2922.0,,394.0,1479,98696,6/4/2013,"238,839",48.666000000000004,,,31095.0,17589
9,2821.0,,279.0,1530,116129,6/5/2013,"283,757",44.917,,,32620.0,17433
10,1872.0,,210.0,1334,129861,6/6/2013,"314,743",30.987,,,33954.0,13732
11,66.0,,11.0,495,131254,6/7/2013,"316,809",2.065,,,34449.0,1393
12,5013.0,,230.0,784,151153,6/8/2013,"371,473",54.665,,,35233.0,19899
13,5772.0,,275.0,1062,174389,6/9/2013,"443,077",71.604,,,36295.0,23236
14,290.0,,82.0,791,178893,6/10/2013,"453,215",10.138,,,37086.0,4504
15,1836.0,,273.0,808,193531,6/11/2013,"487,845",34.63,,,37894.0,14638
16,2767.0,,316.0,911,212491,6/12/2013,"533,559",45.714,,,38805.0,18960
17,701.0,,119.0,637,221273,6/13/2013,"548,634",15.075,,,39442.0,8782
18,2268.0,,211.0,636,237696,6/14/2013,"582,614",33.98,,,40078.0,16423
19,6107.0,,319.0,624,264972,6/15/2013,"655,406",72.792,,,40702.0,27276
20,4413.0,,314.0,839,288582,6/16/2013,"714,979",59.573,,,41541.0,23610
21,2378.0,,530.0,1023,309860,6/17/2013,"758,876",43.897,,,42564.0,21278
22,1236.0,,277.0,830,324686,6/18/2013,"786,546",27.67,,,43394.0,14826
23,2678.0,,607.0,829,350953,6/19/2013,"840,951",54.405,,,44223.0,26267
24,2814.0,,421.0,801,379947,6/20/2013,"900,886",59.935,,,45024.0,28994
25,3465.0,,408.0,791,410607,6/21/2013,"965,759",64.872,,,45815.0,30660
26,5902.0,,383.0,633,442492,6/22/2013,"1,046,191",80.433,,,46448.0,31885
27,4959.0,,279.0,755,473145,6/23/2013,"1,122,641",76.45,,,47203.0,30653
28,1844.0,,386.0,932,499781,6/24/2013,"1,173,305",50.663999999999994,,,48135.0,26636
29,1937.0,,343.0,780,530207,6/25/2013,"1,229,380",56.075,,,48915.0,30426
30,2000.0,,301.0,750,562529,6/26/2013,"1,289,043",59.663000000000004,,,49665.0,32322
31,1680.0,,223.0,690,590623,6/27/2013,"1,344,304",55.26,,,50355.0,28094
32,2268.0,,291.0,674,621218,6/28/2013,"1,402,340",58.037,,,51029.0,30595
33,4895.0,,296.0,476,654165,6/29/2013,"1,479,567",77.226,,,51505.0,32947
34,3592.0,,178.0,620,681450,6/30/2013,"1,540,619",61.052,,,52125.0,27285
35,846.0,,167.0,597,701601,7/1/2013,"1,576,787",36.168,,,52722.0,20151
36,1435.0,,219.0,588,728283,7/2/2013,"1,625,520",48.733000000000004,,,53310.0,26682
37,1419.0,,189.0,438,753792,7/3/2013,"1,671,537",46.016000000000005,,,53748.0,25509
38,4219.0,,257.0,325,779796,7/4/2013,"1,735,210",63.674,,,54073.0,26004
39,2803.0,,215.0,434,805337,7/5/2013,"1,788,629",53.419,,,54507.0,25541
40,3178.0,,172.0,336,829034,7/6/2013,"1,842,391",53.761,,,54843.0,23697
41,2703.0,,186.0,441,852722,7/7/2013,"1,893,025",50.63399999999999,,,55284.0,23688
42,1453.0,,321.0,687,878785,7/8/2013,"1,942,856",49.831,,,55971.0,26063
43,1379.0,,287.0,639,909714,7/9/2013,"1,998,355",55.498999999999995,,,56610.0,30929
44,1435.0,,223.0,584,940419,7/10/2013,"2,054,304",55.948,,,57194.0,30705
45,1478.0,,196.0,531,970108,7/11/2013,"2,110,697",56.393,,,57725.0,29689
46,1096.0,,118.0,408,992925,7/12/2013,"2,150,667",39.97,,,58133.0,22817
47,3285.0,,213.0,362,1023057,7/13/2013,"2,215,501",64.833,,,58495.0,30132
48,3681.0,,224.0,459,1056602,7/14/2013,"2,290,520",75.02,,,58954.0,33545
49,1382.0,,273.0,639,1089167,7/15/2013,"2,348,275",57.755,,,59593.0,32565
50,1288.0,,251.0,536,1123924,7/16/2013,"2,410,132",61.856,,,60129.0,34757
51,1303.0,,201.0,490,1159096,7/17/2013,"2,470,829",60.698,,,60619.0,35172
52,1094.0,,143.0,389,1192318,7/18/2013,"2,527,057",56.228,,,61008.0,33222
53,1389.0,,164.0,358,1222985,7/19/2013,"2,579,841",52.784,,,61366.0,30667
54,2811.0,,169.0,286,1252130,7/20/2013,"2,638,640",58.799,,,61652.0,29145
55,3502.0,,191.0,422,1286824,7/21/2013,"2,714,950",76.31,,,62074.0,34694
56,1005.0,,184.0,503,1316611,7/22/2013,"2,765,095",50.145,,,62577.0,29787
57,1390.0,,220.0,449,1353907,7/23/2013,"2,831,006",65.911,,,63026.0,37296
58,1708.0,,211.0,440,1394606,7/24/2013,"2,905,475",74.469,,,63466.0,40699
59,1163.0,,144.0,356,1430813,7/25/2013,"2,967,663",62.188,,,63822.0,36207
60,2073.0,,176.0,360,1470312,7/26/2013,"3,040,373",72.71,,,64182.0,39499
61,4259.0,,197.0,313,1507443,7/27/2013,"3,122,643",82.27,,,64495.0,37131
62,2391.0,,137.0,389,1534223,7/28/2013,"3,176,204",53.562,,,64884.0,26780
63,1712.0,,275.0,497,1574241,7/29/2013,"3,249,630",73.425,,,65381.0,40018
64,1701.0,,237.0,474,1617223,7/30/2013,"3,327,547",77.917,,,65855.0,42982
65,1692.0,,186.0,455,1659968,7/31/2013,"3,404,528",76.982,,,66310.0,42745
66,415.0,,73.0,334,1682993,8/1/2013,"3,439,323",34.794000000000004,,,66644.0,23025
67,2302.0,,230.0,383,1723647,8/2/2013,"3,514,713",75.39,,,67027.0,40654
68,3417.0,,180.0,266,1757820,8/3/2013,"3,588,013",73.3,,,67293.0,34173
69,4547.0,,261.0,392,1797923,8/4/2013,"3,681,204",93.191,,,67685.0,40103
70,1924.0,,276.0,557,1839682,8/5/2013,"3,759,968",78.764,,,68242.0,41759
71,1778.0,,222.0,502,1882656,8/6/2013,"3,839,230",79.262,,,68744.0,42974
72,1261.0,,183.0,393,1921776,8/7/2013,"3,905,939",66.709,,,69137.0,39120
73,946.0,,137.0,299,1953839,8/8/2013,"3,957,604",51.665,,,69436.0,32063
74,1269.0,,134.0,286,1986765,8/9/2013,"4,012,556",54.952,,,69722.0,32926
75,5567.0,,223.0,274,2030133,8/10/2013,"4,116,300",103.744,,,69996.0,43368
76,3826.0,,234.0,372,2067294,8/11/2013,"4,199,304",83.00399999999999,,,70368.0,37161
77,1314.0,,257.0,431,2102940,8/12/2013,"4,262,200",62.896,,,70799.0,35646
78,787.0,,111.0,322,2128509,8/13/2013,"4,306,574",44.373999999999995,,,71121.0,25569
79,1727.0,,219.0,360,2171946,8/14/2013,"4,385,055",78.48100000000001,,,71481.0,43437
80,1733.0,,179.0,381,2214868,8/15/2013,"4,461,354",76.29899999999999,,,71862.0,42922
81,2085.0,,170.0,345,2256119,8/16/2013,"4,538,398",77.044,,,72207.0,41251
82,5729.0,,217.0,264,2300403,8/17/2013,"4,642,688",104.29,,,72471.0,44284
83,2524.0,,160.0,375,2331915,8/18/2013,"4,705,426",62.738,,,72846.0,31512
84,1395.0,,236.0,453,2369837,8/19/2013,"4,771,130",65.704,,,73299.0,37922
85,1491.0,,233.0,404,2410992,8/20/2013,"4,843,827",72.697,,,73703.0,41155
86,1365.0,,176.0,377,2452710,8/21/2013,"4,917,024",73.19800000000001,,,74080.0,41718
87,787.0,,128.0,320,2483457,8/22/2013,"4,968,280",51.255,,,74400.0,30747
88,1965.0,,157.0,313,2522173,8/23/2013,"5,040,455",72.175,,,74713.0,38716
89,3933.0,,194.0,299,2560222,8/24/2013,"5,121,507",81.05199999999999,,,75012.0,38049
90,3626.0,,199.0,360,2596863,8/25/2013,"5,202,240",80.733,,,75372.0,36641
91,1098.0,,190.0,384,2631675,8/26/2013,"5,263,713",61.473,,,75756.0,34812
92,1222.0,,188.0,367,2670933,8/27/2013,"5,330,798",67.086,,,76123.0,39258
93,765.0,,102.0,279,2703195,8/28/2013,"5,384,254",53.456,,,76402.0,32262
94,1363.0,,141.0,267,2741821,8/29/2013,"5,450,171",65.917,,,76669.0,38626
95,1872.0,,165.0,253,2778691,8/30/2013,"5,517,420",67.249,,,76922.0,36870
96,3064.0,,174.0,211,2807238,8/31/2013,"5,577,469",60.049,,,77133.0,28547
97,3273.0,,148.0,198,2835568,9/1/2013,"5,638,565",61.096000000000004,,,77331.0,28330
98,1829.0,,121.0,278,2859662,9/2/2013,"5,684,625",46.06,,,77609.0,24094
99,1015.0,,157.0,388,2896625,9/3/2013,"5,747,431",62.806999999999995,,,77997.0,36963
100,1263.0,,176.0,391,2938710,9/4/2013,"5,821,132",73.70100000000001,,,78388.0,42085
101,1354.0,,185.0,338,2979527,9/5/2013,"5,891,676",70.544,,,78726.0,40817
102,1556.0,,155.0,284,3020457,9/6/2013,"5,963,800",72.124,,,79010.0,40930
103,3600.0,,200.0,263,3059407,9/7/2013,"6,043,881",80.08,,,79273.0,38950
104,3025.0,,182.0,376,3096943,9/8/2013,"6,120,207",76.32600000000001,,,79649.0,37536
105,1060.0,,203.0,400,3137482,9/9/2013,"6,190,920",70.71300000000001,,,80049.0,40539
106,986.0,,182.0,301,3179520,9/10/2013,"6,262,034",71.115,,,80350.0,42038
107,1046.0,,147.0,295,3220053,9/11/2013,"6,329,471",67.437,,,80645.0,40533
108,756.0,,126.0,265,3255118,9/12/2013,"6,385,918",56.446999999999996,,,80910.0,35065
109,1375.0,,145.0,254,3296318,9/13/2013,"6,456,767",70.84899999999999,,,81164.0,41200
110,3035.0,,153.0,206,3331681,9/14/2013,"6,525,948",69.18,,,81370.0,35363
111,3010.0,,167.0,280,3367524,9/15/2013,"6,598,498",72.551,,,81650.0,35843
112,781.0,,149.0,320,3402630,9/16/2013,"6,654,693",56.195,,,81970.0,35106
113,971.0,,170.0,237,3445747,9/17/2013,"6,725,540",70.847,,,82207.0,43117
114,1078.0,,152.0,273,3488683,9/18/2013,"6,796,896",71.355,,,82480.0,42936
115,1209.0,,154.0,255,3532603,9/19/2013,"6,870,554",73.65899999999999,,,82735.0,43920
116,1631.0,,156.0,224,3576498,9/20/2013,"6,945,648",75.094,,,82959.0,43895
117,3096.0,,132.0,202,3611846,9/21/2013,"7,015,969",70.321,,,83161.0,35348
118,2479.0,,136.0,251,3644951,9/22/2013,"7,080,726",64.758,,,83412.0,33105
119,1006.0,,171.0,276,3683914,9/23/2013,"7,144,883",64.157,,,83689.0,38963
120,1158.0,,153.0,233,3726868,9/24/2013,"7,215,286",70.402,,,83922.0,42954
121,966.0,,133.0,208,3769507,9/25/2013,"7,285,786",70.5,,,84130.0,42639
122,973.0,,117.0,175,3811754,9/26/2013,"7,354,431",68.646,,,84305.0,42247
123,1321.0,,137.0,213,3853122,9/27/2013,"7,423,409",68.977,,,84519.0,41368
124,3452.0,,126.0,193,3892061,9/28/2013,"7,501,809",78.4,,,84712.0,38939
125,2718.0,,161.0,201,3928101,9/29/2013,"7,572,461",70.652,,,84913.0,36040
126,1023.0,,140.0,323,3969180,9/30/2013,"7,639,629",67.168,,,85236.0,41079
0,,,,258,4013952,10/1/2013,"7,713,294",73.665,85494.0,,,44772
1,,,,279,4059619,10/2/2013,"7,789,442",76.149,85773.0,,,45667
2,,,,560,4104091,10/3/2013,"7,862,077",72.635,86333.0,,,44472
3,,,,779,4148180,10/4/2013,"7,936,300",74.223,87112.0,,,44089
4,,,,750,4185863,10/5/2013,"8,010,192",73.892,87862.0,,,37683
5,,,,742,4214892,10/6/2013,"8,060,079",49.887,88604.0,,,29029
6,,,,585,4242396,10/7/2013,"8,100,403",40.324,89189.0,,,27504
7,,,,332,4284596,10/8/2013,"8,169,518",69.116,89521.0,,,42200
8,,,,248,4325203,10/9/2013,"8,231,732",62.214,89769.0,,,40607
9,,,,182,4359310,10/10/2013,"8,281,464",49.732,89951.0,,,34107
10,,,,170,4395691,10/11/2013,"8,337,961",56.497,90121.0,,,36381
11,,,,180,4431171,10/12/2013,"8,407,802",69.84100000000001,90301.0,,,35480
12,,,,221,4462672,10/13/2013,"8,467,357",59.556000000000004,90522.0,,,31501
13,,,,248,4498858,10/14/2013,"8,527,618",60.261,90770.0,,,36186
14,,,,207,4540317,10/15/2013,"8,594,243",66.625,90977.0,,,41459
15,,,,194,4580961,10/16/2013,"8,658,358",64.115,91171.0,,,40644
16,,,,172,4621324,10/17/2013,"8,722,285",63.927,91343.0,,,40363
17,,,,208,4663099,10/18/2013,"8,791,450",69.165,91551.0,,,41775
18,,,,108,4695568,10/19/2013,"8,850,973",59.523,91659.0,,,32469
19,,,,156,4727584,10/20/2013,"8,911,643",60.67,91815.0,,,32016
20,,,,214,4765932,10/21/2013,"8,973,859",62.216,92029.0,,,38348
21,,,,184,4805673,10/22/2013,"9,034,282",60.424,92213.0,,,39741
22,,,,111,4841031,10/23/2013,"9,084,602",50.318999999999996,92324.0,,,35358
23,,,,86,4876269,10/24/2013,"9,135,212",50.61,92410.0,,,35238
24,,,,95,4909980,10/25/2013,"9,185,320",50.108999999999995,92505.0,,,33711
25,,,,93,4936633,10/26/2013,"9,230,693",45.372,92598.0,,,26653
26,,,,100,4962613,10/27/2013,"9,275,108",44.415,92698.0,,,25980
27,,,,146,4996911,10/28/2013,"9,327,752",52.643,92844.0,,,34298
28,,,,100,5033191,10/29/2013,"9,381,516",53.765,92944.0,,,36280
29,,,,91,5071008,10/30/2013,"9,436,457",54.94,93035.0,,,37817
30,,,,102,5104999,10/31/2013,"9,487,740",51.283,93137.0,,,33991
31,,,,84,5138192,11/1/2013,"9,539,774",52.035,93221.0,,,33193
32,,,,94,5171880,11/2/2013,"9,604,607",64.833,93320.0,,,33688
33,,,,104,5194294,11/3/2013,"9,639,461",34.853,93424.0,,,22414
34,,,,71,5223768,11/4/2013,"9,682,263",42.802,93495.0,,,29474
35,,,,103,5257947,11/5/2013,"9,731,940",49.677,93598.0,,,34179
36,,,,108,5295732,11/6/2013,"9,790,064",58.125,93706.0,,,37785
37,,,,93,5323581,11/7/2013,"9,828,583",38.518,93804.0,,,27849
38,,,,61,5354613,11/8/2013,"9,874,455",45.872,93859.0,,,31032
39,,,,59,5378135,11/9/2013,"9,913,570",39.116,93918.0,,,23522
40,,,,51,5399405,11/10/2013,"9,947,057",33.486,93969.0,,,21270
41,,,,92,5428949,11/11/2013,"9,990,076",43.019,94061.0,,,29544
42,,,,66,5450454,11/12/2013,"10,017,556",27.48,94127.0,,,21505
43,,,,62,5475958,11/13/2013,"10,051,489",33.933,94189.0,,,25504
44,,,,61,5505152,11/14/2013,"10,092,152",40.663000000000004,94250.0,,,29194
45,,,,55,5536678,11/15/2013,"10,139,359",47.207,94305.0,,,31526
46,,,,56,5563886,11/16/2013,"10,187,459",48.1,94361.0,,,27208
47,,,,64,5583283,11/17/2013,"10,216,825",29.366,94425.0,,,19397
48,,,,108,5617001,11/18/2013,"10,269,226",52.401,94533.0,,,33718
49,,,,60,5646634,11/19/2013,"10,309,249",40.023,94593.0,,,29633
50,,,,59,5674920,11/20/2013,"10,347,174",37.925,94652.0,,,28286
51,,,,51,5706009,11/21/2013,"10,390,602",43.428000000000004,94697.0,,,31089
52,,,,42,5733512,11/22/2013,"10,429,362",38.76,94739.0,,,27503
53,,,,29,5753908,11/23/2013,"10,461,001",31.638,94768.0,,,20396
54,,,,40,5763977,11/24/2013,"10,473,249",12.248,94808.0,,,10069
55,,,,35,5784626,11/25/2013,"10,499,811",26.561999999999998,94843.0,,,20649
56,,,,30,5800832,11/26/2013,"10,520,094",20.283,94873.0,,,16206
57,,,,24,5809447,11/27/2013,"10,530,423",10.329,94897.0,,,8615
58,,,,15,5815115,11/28/2013,"10,538,800",8.377,94912.0,,,5668
59,,,,16,5826082,11/29/2013,"10,554,207",15.405999999999999,94928.0,,,10967
60,,,,27,5836687,11/30/2013,"10,569,715",15.508,94955.0,,,10605
61,,,,42,5851009,12/1/2013,"10,590,837",21.121,94997.0,,,14322
62,,,,74,5877531,12/2/2013,"10,628,564",37.728,95071.0,,,26522
63,,,,69,5907297,12/3/2013,"10,670,729",42.165,95140.0,,,29766
64,,,,57,5937769,12/4/2013,"10,714,650",43.92,95197.0,,,30472
65,,,,53,5966991,12/5/2013,"10,756,639",41.99,95250.0,,,29222
66,,,,46,5978617,12/6/2013,"10,771,314",14.674000000000001,95296.0,,,11626
67,,,,38,5995485,12/7/2013,"10,795,695",24.381,95334.0,,,16868
68,,,,20,6006377,12/8/2013,"10,809,865",14.17,95354.0,,,10892
69,,,,35,6022569,12/9/2013,"10,830,402",20.537,95401.0,,,16192
70,,,,34,6036516,12/10/2013,"10,848,168",17.766,95418.0,,,13947
71,,,,26,6056885,12/11/2013,"10,874,007",25.839000000000002,95444.0,,,20369
72,,,,35,6075437,12/12/2013,"10,897,249",23.241999999999997,95479.0,,,18552
73,,,,28,6094818,12/13/2013,"10,922,911",25.662,95507.0,,,19381
74,,,,9,6098801,12/14/2013,"10,927,983",5.072,95516.0,,,3983
75,,,,19,6106928,12/15/2013,"10,938,175",10.192,95535.0,,,8127
76,,,,33,6123770,12/16/2013,"10,959,528",21.353,95568.0,,,16842
77,,,,28,6132322,12/17/2013,"10,970,536",11.009,95596.0,,,8552
78,,,,32,6148568,12/18/2013,"10,991,787",21.250999999999998,95628.0,,,16246
79,,,,34,6168877,12/19/2013,"11,018,742",26.954,95662.0,,,20309
80,,,,25,6192726,12/20/2013,"11,052,252",33.51,95687.0,,,23849
81,,,,36,6212088,12/21/2013,"11,084,612",32.36,95723.0,,,19362
82,,,,42,6228426,12/22/2013,"11,110,903",26.291,95765.0,,,16338
83,,,,28,6235942,12/23/2013,"11,120,309",9.407,95793.0,,,7516
84,,,,30,6247913,12/24/2013,"11,135,872",15.562999999999999,95823.0,,,11971
85,,,,46,6251436,12/25/2013,"11,141,330",5.457999999999999,95869.0,,,3523
86,,,,51,6262006,12/26/2013,"11,154,886",13.556,95920.0,,,10570
87,,,,49,6274655,12/27/2013,"11,172,515",17.629,95969.0,,,12649
88,,,,36,6287522,12/28/2013,"11,194,503",21.988000000000003,96005.0,,,12867
89,,,,27,6291592,12/29/2013,"11,199,489",4.986000000000001,96032.0,,,4070
90,,,,52,6305814,12/30/2013,"11,219,471",19.982,96084.0,,,14222
91,,,,41,6317163,12/31/2013,"11,234,326",14.856,96125.0,,,11349
0,268,,10,29,6323722,1/1/2014,"11,243,581",9.254,,,95971.0,6559
1,66,,3,42,6333056,1/2/2014,"11,255,317",11.735999999999999,,,96000.0,9334
2,1,,1,23,6334344,1/3/2014,"11,257,172",1.855,,,96042.0,1288
3,14,,1,19,6336838,1/4/2014,"11,260,878",3.7060000000000004,,,96065.0,2494
4,17,,4,18,6339775,1/5/2014,"11,264,598",3.72,,,96084.0,2937
5,30,,7,22,6350256,1/6/2014,"11,277,613",13.015999999999998,,,96102.0,10481
6,5,,4,28,6357400,1/7/2014,"11,285,814",8.2,,,96124.0,7144
7,28,,4,19,6367562,1/8/2014,"11,297,582",11.767999999999999,,,96152.0,10162
8,74,,10,18,6382133,1/9/2014,"11,315,983",18.401,,,96171.0,14571
9,49,,5,36,6392818,1/10/2014,"11,329,416",13.433,,,96189.0,10685
10,101,,16,22,6401151,1/11/2014,"11,340,151",10.735,,,96225.0,8333
11,350,,22,29,6414700,1/12/2014,"11,359,291",19.141,,,96247.0,13549
12,224,,31,72,6437077,1/13/2014,"11,390,121",30.829,,,96276.0,22377
13,45,,4,43,6447926,1/14/2014,"11,403,392",13.270999999999999,,,96348.0,10849
14,241,,30,62,6471426,1/15/2014,"11,435,695",32.303000000000004,,,96391.0,23500
15,208,,37,56,6492954,1/16/2014,"11,464,502",28.807,,,96453.0,21528
16,282,,34,67,6514794,1/17/2014,"11,495,275",30.773000000000003,,,96509.0,21840
17,176,,15,40,6525016,1/18/2014,"11,509,870",14.595999999999998,,,96576.0,10222
18,194,,13,38,6534784,1/19/2014,"11,523,461",13.591,,,96616.0,9768
19,133,,11,47,6549365,1/20/2014,"11,543,564",20.102999999999998,,,96654.0,14581
20,5,,1,32,6553536,1/21/2014,"11,548,993",5.428999999999999,,,96701.0,4171
21,4,,3,8,6556298,1/22/2014,"11,553,054",4.061,,,96733.0,2762
22,9,,1,16,6562041,1/23/2014,"11,561,390",8.336,,,96741.0,5743
23,15,,6,13,6568942,1/24/2014,"11,570,765",9.375,,,96757.0,6901
24,34,,0,14,6573658,1/25/2014,"11,576,770",6.004,,,96770.0,4716
25,37,,6,20,6579120,1/26/2014,"11,583,461",6.691,,,96784.0,5462
26,55,,18,26,6593424,1/27/2014,"11,601,588",18.127,,,96804.0,14304
27,18,,7,22,6604490,1/28/2014,"11,615,310",13.722000000000001,,,96830.0,11066
28,21,,6,33,6615328,1/29/2014,"11,628,704",13.394,,,96852.0,10838
29,42,,7,27,6628526,1/30/2014,"11,645,618",16.914,,,96885.0,13198
30,130,,10,23,6644412,1/31/2014,"11,667,159",21.541,,,96912.0,15886
31,349,,29,23,6658209,2/1/2014,"11,687,866",20.706999999999997,,,96935.0,13797
32,449,,10,40,6673218,2/2/2014,"11,710,781",22.915,,,96958.0,15009
33,4,,2,27,6676057,2/3/2014,"11,714,416",3.635,,,96998.0,2839
34,37,,2,21,6685608,2/4/2014,"11,727,124",12.708,,,97025.0,9551
35,8,,1,15,6688684,2/5/2014,"11,731,727",4.603,,,97046.0,3076
36,25,,9,21,6696911,2/6/2014,"11,744,368",12.640999999999998,,,97061.0,8227
37,36,,5,12,6706384,2/7/2014,"11,758,574",14.206,,,97082.0,9473
38,71,,1,15,6713024,2/8/2014,"11,768,137",9.562999999999999,,,97094.0,6640
39,47,,6,19,6718551,2/9/2014,"11,775,942",7.806,,,97109.0,5527
40,16,,3,26,6726194,2/10/2014,"11,786,809",10.867,,,97128.0,7643
41,22,,4,20,6735452,2/11/2014,"11,799,379",12.57,,,97154.0,9258
42,24,,3,10,6744983,2/12/2014,"11,812,070",12.690999999999999,,,97174.0,9531
43,3,,1,7,6745961,2/13/2014,"11,813,795",1.725,,,97184.0,978
44,16,,8,14,6749990,2/14/2014,"11,820,381",6.586,,,97191.0,4029
45,23,,2,16,6752502,2/15/2014,"11,824,215",3.8339999999999996,,,97205.0,2512
46,34,,2,12,6755864,2/16/2014,"11,829,278",5.063,,,97221.0,3362
47,40,,10,10,6761297,2/17/2014,"11,837,504",8.226,,,97233.0,5433
48,19,,2,19,6767024,2/18/2014,"11,845,896",8.392999999999999,,,97243.0,5727
49,45,,6,18,6776509,2/19/2014,"11,859,983",14.085999999999999,,,97262.0,9485
50,103,,11,27,6789480,2/20/2014,"11,878,690",18.707,,,97280.0,12971
51,59,,8,34,6799025,2/21/2014,"11,891,113",12.423,,,97307.0,9545
52,730,,31,38,6813286,2/22/2014,"11,917,058",25.945,,,97341.0,14261
53,666,,35,56,6827853,2/23/2014,"11,942,356",25.298000000000002,,,97379.0,14567
54,79,,10,76,6841972,2/24/2014,"11,961,594",19.238,,,97435.0,14119
55,50,,14,45,6855975,2/25/2014,"11,979,293",17.699,,,97511.0,14003
56,35,,7,28,6868143,2/26/2014,"11,994,332",15.039000000000001,,,97556.0,12168
57,54,,10,28,6881281,2/27/2014,"12,010,374",16.042,,,97584.0,13138
58,46,,12,38,6891764,2/28/2014,"12,023,391",13.017000000000001,,,97612.0,10483
59,255,,11,37,6901708,3/1/2014,"12,037,756",14.364,,,97650.0,9944
60,196,,12,40,6910725,3/2/2014,"12,050,044",12.288,,,97687.0,9017
61,44,,3,41,6919343,3/3/2014,"12,062,064",12.02,,,97727.0,8618
62,36,,11,39,6930837,3/4/2014,"12,076,537",14.472999999999999,,,97768.0,11494
63,90,,13,62,6945771,3/5/2014,"12,095,684",19.147000000000002,,,97807.0,14934
64,50,,7,38,6959529,3/6/2014,"12,112,804",17.12,,,97869.0,13758
65,108,,10,63,6974265,3/7/2014,"12,132,613",19.809,,,97907.0,14736
66,1211,,46,82,6992384,3/8/2014,"12,167,427",34.814,,,97970.0,18119
67,496,,32,94,7005684,3/9/2014,"12,187,894",20.468,,,98052.0,13300
68,206,,30,115,7024528,3/10/2014,"12,213,671",25.776999999999997,,,98146.0,18844
69,574,,66,187,7050964,3/11/2014,"12,255,359",41.688,,,98261.0,26436
70,153,,21,124,7067237,3/12/2014,"12,277,162",21.803,,,98448.0,16273
71,55,,7,67,7079401,3/13/2014,"12,292,825",15.663,,,98572.0,12164
72,209,,14,77,7097146,3/14/2014,"12,316,364",23.539,,,98639.0,17745
73,1316,,54,111,7116810,3/15/2014,"12,351,665",35.302,,,98716.0,19664
74,274,,31,77,7127550,3/16/2014,"12,367,720",16.054000000000002,,,98827.0,10740
75,106,,19,91,7141231,3/17/2014,"12,385,442",17.722,,,98904.0,13681
76,181,,30,87,7159277,3/18/2014,"12,410,427",24.985,,,98995.0,18046
77,87,,19,78,7173664,3/19/2014,"12,429,506",19.079,,,99082.0,14387
78,292,,36,120,7194963,3/20/2014,"12,460,523",31.018,,,99160.0,21299
79,386,,26,149,7217229,3/21/2014,"12,493,712",33.189,,,99280.0,22266
80,1525,,55,134,7238900,3/22/2014,"12,535,919",42.206,,,99429.0,21671
81,451,,19,115,7251746,3/23/2014,"12,555,024",19.105,,,99563.0,12846
82,105,,20,84,7266475,3/24/2014,"12,573,862",18.838,,,99678.0,14729
83,108,,19,79,7283863,3/25/2014,"12,595,997",22.135,,,99762.0,17388
84,91,,16,72,7299401,3/26/2014,"12,615,365",19.368,,,99841.0,15538
85,164,,17,78,7317567,3/27/2014,"12,640,668",25.302,,,99913.0,18166
86,255,,29,81,7337592,3/28/2014,"12,670,526",29.858,,,99991.0,20025
87,142,,0,55,7342462,3/29/2014,"12,677,072",6.546,,,100072.0,4870
88,209,,15,93,7351107,3/30/2014,"12,690,437",13.365,,,100127.0,8645
89,276,,47,117,7369793,3/31/2014,"12,717,217",26.78,,,100220.0,18686
0,475,,67,174,7395956,4/1/2014,"12,758,196",40.978,,,100337.0,26163
1,237,,33,118,7420255,4/2/2014,"12,793,736",35.54,,,100511.0,24299
2,596,,63,171,7448634,4/3/2014,"12,838,385",44.648999999999994,,,100629.0,28379
3,103,,10,92,7462227,4/4/2014,"12,856,030",17.644000000000002,,,100800.0,13593
4,1221,,42,127,7482560,4/5/2014,"12,892,827",36.797,,,100892.0,20333
5,1641,,62,165,7505203,4/6/2014,"12,938,402",45.575,,,101019.0,22643
6,159,,36,131,7521072,4/7/2014,"12,960,303",21.9,,,101184.0,15869
7,369,,44,126,7544708,4/8/2014,"12,995,153",34.85,,,101315.0,23636
8,447,,57,201,7573902,4/9/2014,"13,040,772",45.619,,,101441.0,29194
9,525,,65,172,7603624,4/10/2014,"13,086,794",46.023,,,101642.0,29722
10,632,,83,140,7632907,4/11/2014,"13,136,064",49.269,,,101814.0,29283
11,2710,,89,175,7662680,4/12/2014,"13,199,713",63.648999999999994,,,101954.0,29773
